# WAVELENGTH FLUX
4231.41891895 1.39812012
4233.11533879 1.40156236
4234.81182880 1.42251287
4236.50838897 1.47664581
4238.20501931 1.55887155
4239.90171981 1.56359650
4241.59849048 1.62408014
4243.29533132 1.62408014
4244.99224232 1.62408014
4246.68922348 1.62408014
4248.38627481 1.60264261
4250.08339631 1.52270182
4251.78058798 1.52270182
4253.47784980 1.51796998
4255.17518180 1.52270182
4256.87258396 1.58387561
4258.57005628 1.58387561
4260.26759877 1.57908938
4261.96521143 1.60048500
4263.66289425 1.60628856
4265.36064724 1.60556867
4267.05847039 1.60268113
4268.75636371 1.60513156
4270.45432719 1.57480895
4272.15236084 1.58328889
4273.85046466 1.57752615
4275.54863864 1.57530954
4277.24688278 1.55399247
4278.94519710 1.58074136
4280.64358157 1.58037291
4282.34203621 1.57602709
4284.04056102 1.53684510
4285.73915600 1.49561962
4287.43782114 1.52480071
4289.13655644 1.50628511
4290.83536191 1.48593201
4292.53423755 1.48385454
4294.23318335 1.47947538
4295.93219932 1.47403062
4297.63128545 1.45174859
4299.33044175 1.42777001
4301.02966821 1.42024141
4302.72896484 1.38296035
4304.42833163 1.37645276
4306.12776859 1.41252391
4307.82727572 1.37618814
4309.52685301 1.37618814
4311.22650047 1.37618814
4312.92621809 1.40750274
4314.62600588 1.40432391
4316.32586383 1.35746279
4318.02579195 1.34245936
4319.72579023 1.33210983
4321.42585868 1.30299296
4323.12599730 1.28590623
4324.82620608 1.27075333
4326.52648503 1.26741662
4328.22683414 1.25963399
4329.92725342 1.16454153
4331.62774286 1.12682872
4333.32830247 1.03545083
4335.02893224 0.83885099
4336.72963218 0.73954046
4338.43040229 0.72663428
4340.13124256 0.72607152
4341.83215300 0.71991448
4343.53313360 0.75071254
4345.23418436 0.80501844
4346.93530530 0.88096942
4348.63649640 1.00330468
4350.33775766 1.02426081
4352.03908909 1.06064777
4353.74049069 1.09411001
4355.44196245 1.14569130
4357.14350437 1.26449881
4358.84511646 1.29124397
4360.54679872 1.30471271
4362.24855114 1.37676312
4363.95037373 1.40173050
4365.65226649 1.40126590
4367.35422941 1.40378170
4369.05626249 1.41987581
4370.75836574 1.41945180
4372.46053916 1.41582778
4374.16278274 1.41349741
4375.86509649 1.40977592
4377.56748040 1.41862135
4379.26993448 1.41760219
4380.97245872 1.40520642
4382.67505313 1.42176753
4384.37771771 1.40630683
4386.08045245 1.41789268
4387.78325735 1.46553937
4389.48613242 1.44729214
4391.18907766 1.44306929
4392.89209306 1.45153921
4394.59517863 1.43952890
4396.29833437 1.47884474
4398.00156026 1.43230376
4399.70485633 1.42817804
4401.40822256 1.43383620
4403.11165896 1.45753551
4404.81516552 1.46905118
4406.51874224 1.49134454
4408.22238914 1.49942624
4409.92610619 1.49514550
4411.62989342 1.49356546
4413.33375081 1.49956233
4415.03767836 1.49389009
4416.74167608 1.49347424
4418.44574397 1.49949275
4420.14988202 1.50763082
4421.85409023 1.50744897
4423.55836862 1.50528099
4425.26271716 1.48893540
4426.96713588 1.50015080
4428.67162476 1.47203770
4430.37618380 1.46716068
4432.08081301 1.46640956
4433.78551239 1.47544042
4435.49028193 1.47458263
4437.19512163 1.47232359
4438.90003151 1.46303925
4440.60501154 1.46216479
4442.31006175 1.45266264
4444.01518212 1.45151250
4445.72037265 1.44824442
4447.42563335 1.44136965
4449.13096421 1.47959079
4450.83636525 1.47738749
4452.54183644 1.47257983
4454.24737780 1.46873487
4455.95298933 1.46732876
4457.65867102 1.46045731
4459.36442288 1.45859175
4461.07024491 1.45630304
4462.77613710 1.45389237
4464.48209945 1.44947560
4466.18813197 1.44840831
4467.89423466 1.45233676
4469.60040751 1.45382226
4471.30665053 1.45202489
4473.01296371 1.44956165
4474.71934706 1.43509253
4476.42580057 1.43421919
4478.13232425 1.43078905
4479.83891810 1.39832284
4481.54558211 1.39274959
4483.25231628 1.39105947
4484.95912063 1.37701236
4486.66599513 1.39067863
4488.37293981 1.43826215
4490.07995464 1.43889213
4491.78703965 1.45398052
4493.49419482 1.45534784
4495.20142015 1.45463859
4496.90871565 1.46518068
4498.61608132 1.46817746
4500.32351715 1.47627559
4502.03102315 1.48279199
4503.73859931 1.50530036
4505.44624564 1.50368222
4507.15396213 1.50029110
4508.86174879 1.49964250
4510.56960561 1.49958045
4512.27753260 1.49559012
4513.98552976 1.47036942
4515.69359708 1.46424339
4517.40173457 1.45032238
4519.10994222 1.44917703
4520.81822004 1.44028934
4522.52656802 1.42481985
4524.23498617 1.42293167
4525.94347449 1.42071954
4527.65203297 1.41755270
4529.36066161 1.41635133
4531.06936042 1.41132557
4532.77812940 1.40857062
4534.48696854 1.40857062
4536.19587785 1.40857062
4537.90485732 1.41938362
4539.61390696 1.42638058
4541.32302677 1.42726837
4543.03221674 1.44001727
4544.74147687 1.44001727
4546.45080717 1.42638058
4548.16020764 1.42638058
4549.86967827 1.41391508
4551.57921907 1.37167561
4553.28883003 1.37167561
4554.99851116 1.37167561
4556.70826245 1.37167561
4558.41808391 1.37289544
4560.12797554 1.38743152
4561.83793733 1.39669545
4563.54796929 1.39669545
4565.25807141 1.40113097
4566.96824369 1.39691609
4568.67848615 1.41835397
4570.38879877 1.41835397
4572.09918155 1.41753434
4573.80963450 1.41835397
4575.52015762 1.41835397
4577.23075090 1.41753434
4578.94141434 1.40530559
4580.65214795 1.38713036
4582.36295173 1.38713036
4584.07382567 1.37372422
4585.78476978 1.37372422
4587.49578406 1.37368026
4589.20686850 1.37522950
4590.91802310 1.37509569
4592.62924787 1.38376310
4594.34054281 1.38310031
4596.05190791 1.39093941
4597.76334318 1.38926174
4599.47484861 1.40177717
4601.18642421 1.38639399
4602.89806997 1.40631976
4604.60978590 1.40606729
4606.32157199 1.40712086
4608.03342825 1.42328474
4609.74535468 1.42328474
4611.45735127 1.42328474
4613.16941803 1.42336963
4614.88155495 1.41131319
4616.59376204 1.41131319
4618.30603929 1.40635956
4620.01838671 1.40627569
4621.73080430 1.40554426
4623.44329205 1.40554426
4625.15584996 1.40284905
4626.86847804 1.40284905
4628.58117629 1.40284905
4630.29394470 1.40135230
4632.00678328 1.38932081
4633.71969202 1.38932081
4635.43267093 1.37526969
4637.14572001 1.37526969
4638.85883925 1.37598537
4640.57202865 1.38690493
4642.28528822 1.38690493
4643.99861796 1.37598537
4645.71201786 1.37232105
4647.42548793 1.38305180
4649.13902816 1.38803730
4650.85263856 1.37191853
4652.56631913 1.37193763
4654.28006986 1.37205068
4655.99389075 1.37254500
4657.70778181 1.37254500
4659.42174304 1.36450012
4661.13577443 1.35663099
4662.84987599 1.35246266
4664.56404771 1.34475957
4666.27828960 1.33621471
4667.99260165 1.34746488
4669.70698387 1.34767023
4671.42143626 1.34779207
4673.13595881 1.34916037
4674.85055153 1.35622774
4676.56521441 1.35828007
4678.27994746 1.35828007
4679.99475067 1.35828007
4681.70962405 1.36135211
4683.42456759 1.38317957
4685.13958130 1.38406567
4686.85466518 1.38457841
4688.56981922 1.35269532
4690.28504342 1.37713281
4692.00033779 1.37713281
4693.71570233 1.36778237
4695.43113703 1.34862351
4697.14664190 1.34908907
4698.86221694 1.35083039
4700.57786214 1.34431093
4702.29357750 1.33958433
4704.00936303 1.34050456
4705.72521873 1.33735653
4707.44114459 1.32692584
4709.15714062 1.32710323
4710.87320681 1.32724961
4712.58934317 1.32757001
4714.30554969 1.33814811
4716.02182638 1.33496188
4717.73817323 1.33752765
4719.45459025 1.34294386
4721.17107744 1.34741931
4722.88763479 1.34756772
4724.60426231 1.34352101
4726.32095999 1.32519392
4728.03772784 1.32370154
4729.75456585 1.31752126
4731.47147403 1.31879919
4733.18845238 1.31569492
4734.90550089 1.31576974
4736.62261956 1.31540635
4738.33980840 1.31588795
4740.05706741 1.31793591
4741.77439658 1.32423069
4743.49179592 1.32558722
4745.20926542 1.33530281
4746.92680509 1.33566287
4748.64441493 1.33579383
4750.36209493 1.32826000
4752.07984509 1.32839271
4753.79766542 1.31610651
4755.51555592 1.30102431
4757.23351658 1.29883307
4758.95154741 1.29144775
4760.66964840 1.28938435
4762.38781956 1.28717637
4764.10606088 1.29043961
4765.82437237 1.29511049
4767.54275403 1.29512712
4769.26120585 1.29559601
4770.97972784 1.29315088
4772.69831999 1.29389358
4774.41698231 1.29389358
4776.13571479 1.28731273
4777.85451744 1.27942742
4779.57339025 1.28130685
4781.29233323 1.27462534
4783.01134638 1.27380147
4784.73042969 1.27579076
4786.44958316 1.26620062
4788.16880681 1.26894087
4789.88810061 1.27989421
4791.60746459 1.27994507
4793.32689872 1.28528007
4795.04640303 1.28693369
4796.76597750 1.28693369
4798.48562213 1.28693369
4800.20533693 1.28693369
4801.92512190 1.28528007
4803.64497703 1.28105174
4805.36490233 1.26766354
4807.08489779 1.26407689
4808.80496342 1.23380893
4810.52509921 1.23192268
4812.24530517 1.22383472
4813.96558130 1.22308900
4815.68592759 1.22308900
4817.40634404 1.22383472
4819.12683067 1.22650210
4820.84738745 1.22718080
4822.56801440 1.22718080
4824.28871152 1.23209752
4826.00947881 1.21255423
4827.73031626 1.21255423
4829.45122387 1.20333125
4831.17220165 1.16664868
4832.89324960 1.15256079
4834.61436771 1.11809626
4836.33555598 1.11642317
4838.05681443 1.10137034
4839.77814303 1.09604876
4841.49954181 1.09447523
4843.22101075 1.08451596
